word,color,response,reaction_time,is_correct, timestamp
BLUE,yellow,yellow,1274.0,True, 2025-04-01 19:26:28.183372
GREEN,yellow,yellow,734.0,True, 2025-04-01 19:26:28.639158
BLUE,yellow,yellow,581.0,True, 2025-04-01 19:26:28.774522
GREEN,yellow,yellow,746.0,True, 2025-04-01 19:26:29.506147
YELLOW,blue,blue,960.0,True, 2025-04-01 19:26:30.468610
GREEN,green,green,1075.0,True, 2025-04-01 19:26:32.256589
RED,green,green,1122.0,True, 2025-04-01 19:26:32.680329
BLUE,yellow,yellow,1415.0,True, 2025-04-01 19:26:34.094850
RED,yellow,yellow,784.0,True, 2025-04-01 19:26:34.886055
RED,green,green,1697.0,True, 2025-04-01 19:26:36.571236
GREEN,yellow,yellow,1164.0,True, 2025-04-01 19:26:37.740525
RED,blue,blue,1066.0,True, 2025-04-01 19:26:38.810866
YELLOW,yellow,yellow,929.0,True, 2025-04-01 19:26:39.739644
BLUE,red,red,1020.0,True, 2025-04-01 19:26:40.738753
BLUE,blue,blue,1843.0,True, 2025-04-01 19:26:42.598994
BLUE,yellow,yellow,1034.0,True, 2025-04-01 19:26:43.623420
GREEN,red,green,1519.0,False, 2025-04-01 19:26:45.169349
BLUE,yellow,yellow,2393.0,True, 2025-04-01 19:26:47.556178
GREEN,red,red,1156.0,True, 2025-04-01 19:26:48.710159
GREEN,red,red,688.0,True, 2025-04-01 19:26:49.396415
