,word,color,response,reaction_time,is_correct,time
1258,RED,green,green,1679.0,True,"Apr 03, 2025 10:31 AM"
1259,GREEN,yellow,yellow,2546.0,True,"Apr 03, 2025 10:31 AM"
1260,YELLOW,blue,blue,1924.0,True,"Apr 03, 2025 10:31 AM"
1261,YELLOW,blue,blue,2418.0,True,"Apr 03, 2025 10:31 AM"
1262,RED,blue,blue,1320.0,True,"Apr 03, 2025 10:31 AM"
1263,RED,yellow,yellow,1658.0,True,"Apr 03, 2025 10:31 AM"
1264,RED,green,green,1794.0,True,"Apr 03, 2025 10:31 AM"
1265,GREEN,yellow,yellow,1694.0,True,"Apr 03, 2025 10:31 AM"
1266,YELLOW,red,red,1347.0,True,"Apr 03, 2025 10:31 AM"
1267,YELLOW,green,green,1427.0,True,"Apr 03, 2025 10:31 AM"
1268,GREEN,blue,blue,2565.0,True,"Apr 03, 2025 10:31 AM"
1269,GREEN,red,red,2416.0,True,"Apr 03, 2025 10:31 AM"
